name,category,price,mrp,unit,stock,image,description,sourcing,storage,variations
"Big Brinjal Online in Pune | Order Fresh Bharit Vangi","Vegetables",60,75,"500gm",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2023/01/brinjal-long-purple-near-me.webp","Fresh farm harvested Big Brinjal Online in Pune | Order Fresh Bharit Vangi. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Keep refrigerated in mesh bag","[{""weight"":""500gm"",""price"":60,""stock"":50},{""weight"":""750-gm"",""price"":90,""stock"":50},{""weight"":""250gm"",""price"":30,""stock"":50},{""weight"":""1kg"",""price"":120,""stock"":50}]"
"Tomato","Vegetables",40,50,"500gm",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2023/01/Buy-Fresh-Tomato-Online.webp","Fresh farm harvested Tomato. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Keep refrigerated in mesh bag","[{""weight"":""500gm"",""price"":40,""stock"":50},{""weight"":""750-gm"",""price"":60,""stock"":50},{""weight"":""250gm"",""price"":20,""stock"":50},{""weight"":""1kg"",""price"":80,""stock"":50}]"
"Organic Cauliflower","Dairy & Staples",50,63,"N/A",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2023/01/buy-cauliflower-pune.webp","Fresh farm harvested Organic Cauliflower. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Store in cool dry basket","[{""weight"":""N/A"",""price"":50,""stock"":50}]"
"Fresh Ratnagiri Alphonso Online | Purchase Ratnagiri Hapus","Vegetables",8377,10471,"250g",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2026/01/Ratnagiri-Hapus-8-Dz.png","Fresh farm harvested Fresh Ratnagiri Alphonso Online | Purchase Ratnagiri Hapus. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Keep refrigerated in mesh bag","[{""weight"":""250g"",""price"":2513,""stock"":40},{""weight"":""500g"",""price"":4607,""stock"":50},{""weight"":""1 kg"",""price"":8377,""stock"":60}]"
"Asparagus Online in Pune | Order Fresh Asparagus","Vegetables",600,750,"500gm",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2026/03/asparagus-fruit-1.png","Fresh farm harvested Asparagus Online in Pune | Order Fresh Asparagus. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Keep refrigerated in mesh bag","[{""weight"":""500gm"",""price"":600,""stock"":50},{""weight"":""1kg"",""price"":1200,""stock"":50}]"
"Amrut Payari Mangoes Online | Organic Payri","Fruits",8377,10471,"250g",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2026/01/Buy-amrut-payri-mango.png","Fresh farm harvested Amrut Payari Mangoes Online | Organic Payri. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Store in cool dry basket","[{""weight"":""250g"",""price"":2513,""stock"":40},{""weight"":""500g"",""price"":4607,""stock"":50},{""weight"":""1 kg"",""price"":8377,""stock"":60}]"
"Ratnagiri Alphonso Mangoes in PCMC | Best Ratnagiri Hapus","Fruits",8377,10471,"250g",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2026/01/Ratnagiri-Hapus-6-Dz.png","Fresh farm harvested Ratnagiri Alphonso Mangoes in PCMC | Best Ratnagiri Hapus. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Store in cool dry basket","[{""weight"":""250g"",""price"":2513,""stock"":40},{""weight"":""500g"",""price"":4607,""stock"":50},{""weight"":""1 kg"",""price"":8377,""stock"":60}]"
"Ratnagiri Alphonso Seller in Pune | Ratnagiri Alphonso Mangoes Price","Fruits",8377,10471,"250g",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2026/01/Ratnagiri-Hapus-5-Dz.png","Fresh farm harvested Ratnagiri Alphonso Seller in Pune | Ratnagiri Alphonso Mangoes Price. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Store in cool dry basket","[{""weight"":""250g"",""price"":2513,""stock"":40},{""weight"":""500g"",""price"":4607,""stock"":50},{""weight"":""1 kg"",""price"":8377,""stock"":60}]"
"Order Ratnagiri Alphonso Mangoes | Hapus Mangoes in Pune","Fruits",8377,10471,"250g",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2026/01/Ratnagiri-Hapus-18-Mangoes.png","Fresh farm harvested Order Ratnagiri Alphonso Mangoes | Hapus Mangoes in Pune. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Store in cool dry basket","[{""weight"":""250g"",""price"":2513,""stock"":40},{""weight"":""500g"",""price"":4607,""stock"":50},{""weight"":""1 kg"",""price"":8377,""stock"":60}]"
"Ratnagiri Alphonso Mangoes Online | Ratnagiri Hapus Mango in Pune","Fruits",8377,10471,"250g",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2026/01/Ratnagiri-Hapus-15-Mangoes.png","Fresh farm harvested Ratnagiri Alphonso Mangoes Online | Ratnagiri Hapus Mango in Pune. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Store in cool dry basket","[{""weight"":""250g"",""price"":2513,""stock"":40},{""weight"":""500g"",""price"":4607,""stock"":50},{""weight"":""1 kg"",""price"":8377,""stock"":60}]"
"Best Devgad Hapus Mangoes in Pune | Fresh Mangoes in Pune","Fruits",8377,10471,"250g",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2026/01/Devgad-Alphonso-7-DZ.png","Fresh farm harvested Best Devgad Hapus Mangoes in Pune | Fresh Mangoes in Pune. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Store in cool dry basket","[{""weight"":""250g"",""price"":2513,""stock"":40},{""weight"":""500g"",""price"":4607,""stock"":50},{""weight"":""1 kg"",""price"":8377,""stock"":60}]"
"Organic Devgad Alphonso Mangoes | Hapus Online in Pune","Fruits",8377,10471,"250g",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2026/01/Devgad-Alphonso-18-Mango.png","Fresh farm harvested Organic Devgad Alphonso Mangoes | Hapus Online in Pune. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Store in cool dry basket","[{""weight"":""250g"",""price"":2513,""stock"":40},{""weight"":""500g"",""price"":4607,""stock"":50},{""weight"":""1 kg"",""price"":8377,""stock"":60}]"
"Devgad Alphonso Mangoes In Pune | Devgad Hapus Mango","Fruits",8377,10471,"250g",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2026/01/Devgad-Alphonso-15-Mango-1.png","Fresh farm harvested Devgad Alphonso Mangoes In Pune | Devgad Hapus Mango. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Store in cool dry basket","[{""weight"":""250g"",""price"":2513,""stock"":40},{""weight"":""500g"",""price"":4607,""stock"":50},{""weight"":""1 kg"",""price"":8377,""stock"":60}]"
"Ratnagiri Amrut Payri in Pune | Order Now","Vegetables",8377,10471,"250g",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2026/01/Buy-amrut-payri-online.png","Fresh farm harvested Ratnagiri Amrut Payri in Pune | Order Now. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Keep refrigerated in mesh bag","[{""weight"":""250g"",""price"":2513,""stock"":40},{""weight"":""500g"",""price"":4607,""stock"":50},{""weight"":""1 kg"",""price"":8377,""stock"":60}]"
"Amrut Payari in Pune | Payari Mangoes","Fruits",8377,10471,"250g",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2026/01/amrut-payri-in-pune-1-1.png","Fresh farm harvested Amrut Payari in Pune | Payari Mangoes. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Store in cool dry basket","[{""weight"":""250g"",""price"":2513,""stock"":40},{""weight"":""500g"",""price"":4607,""stock"":50},{""weight"":""1 kg"",""price"":8377,""stock"":60}]"
"Gir Kesar Mangoes Online | Best Kesar Mangoes in Pune","Fruits",8377,10471,"250g",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2026/01/Buy-giri-kesar-online.png","Fresh farm harvested Gir Kesar Mangoes Online | Best Kesar Mangoes in Pune. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Store in cool dry basket","[{""weight"":""250g"",""price"":2513,""stock"":40},{""weight"":""500g"",""price"":4607,""stock"":50},{""weight"":""1 kg"",""price"":8377,""stock"":60}]"
"Kesar Mangoes Online in Pune | Organic Kesar Mango","Fruits",8377,10471,"250g",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2026/01/Buy-Kesar-in-pune-online.png","Fresh farm harvested Kesar Mangoes Online in Pune | Organic Kesar Mango. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Store in cool dry basket","[{""weight"":""250g"",""price"":2513,""stock"":40},{""weight"":""500g"",""price"":4607,""stock"":50},{""weight"":""1 kg"",""price"":8377,""stock"":60}]"
"Organic Sweet Peas","Dairy & Staples",120,150,"750-gm",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2023/01/Buy-Green-Peas-online.webp","Fresh farm harvested Organic Sweet Peas. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Store in cool dry basket","[{""weight"":""750-gm"",""price"":120,""stock"":50},{""weight"":""500gm"",""price"":80,""stock"":50},{""weight"":""1kg"",""price"":160,""stock"":50},{""weight"":""250gm"",""price"":40,""stock"":50}]"
"Chausa Mangoes in Pune | Organic Chaunsa Mango","Fruits",8377,10471,"250g",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2025/07/buy-chaunsa-mango-online.png","Fresh farm harvested Chausa Mangoes in Pune | Organic Chaunsa Mango. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Store in cool dry basket","[{""weight"":""250g"",""price"":2513,""stock"":40},{""weight"":""500g"",""price"":4607,""stock"":50},{""weight"":""1 kg"",""price"":8377,""stock"":60}]"
"Organic Ratnagiri Alphonso Mangoes | Buy Hapoos Mango in Pune","Fruits",8377,10471,"250g",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2026/01/Ratnagiri-Hapus-4-Dz.png","Fresh farm harvested Organic Ratnagiri Alphonso Mangoes | Buy Hapoos Mango in Pune. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Store in cool dry basket","[{""weight"":""250g"",""price"":2513,""stock"":40},{""weight"":""500g"",""price"":4607,""stock"":50},{""weight"":""1 kg"",""price"":8377,""stock"":60}]"
"Ratnagiri Hapus Mangoes in Pune | Ratnagiri Alphonso","Fruits",8377,10471,"250g",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2026/01/Ratnagiri-Hapus-2Dz.png","Fresh farm harvested Ratnagiri Hapus Mangoes in Pune | Ratnagiri Alphonso. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Store in cool dry basket","[{""weight"":""250g"",""price"":2513,""stock"":40},{""weight"":""500g"",""price"":4607,""stock"":50},{""weight"":""1 kg"",""price"":8377,""stock"":60}]"
"Ratnagiri Alphonso Mangoes in Pune | Ratnagiri Hapus","Fruits",8377,10471,"250g",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2026/01/Ratnagiri-Hapus-1-Dz.png","Fresh farm harvested Ratnagiri Alphonso Mangoes in Pune | Ratnagiri Hapus. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Store in cool dry basket","[{""weight"":""250g"",""price"":2513,""stock"":40},{""weight"":""500g"",""price"":4607,""stock"":50},{""weight"":""1 kg"",""price"":8377,""stock"":60}]"
"Order Devgad Alphonso Mango | Devgad Hapoos in Pune","Fruits",8377,10471,"250g",100,"https://SubziQuick Farm Direct.com/wp-content/uploads/2026/01/Devgad-Alphonso-2-Dz.png","Fresh farm harvested Order Devgad Alphonso Mango | Devgad Hapoos in Pune. Naturally grown, pesticide-monitored, handpicked and ozone washed for maximum crispness and nutrition.","Direct Farm Sourced (Maha Veggie Farm / Sunrise Partner)","Store in cool dry basket","[{""weight"":""250g"",""price"":2513,""stock"":40},{""weight"":""500g"",""price"":4607,""stock"":50},{""weight"":""1 kg"",""price"":8377,""stock"":60}]"
