name,category,price,unit,stock,image,description,sourcing,storage,variations
"Amla (Small)","Fruits",110,"500g",60,"https://cdn2.clevup.in/252374/SKU-0412_0-1728012895874.jpg?format=webp","Amla, also known as Indian Gooseberry (scientific name Phyllanthus emblica), is a small, round fruit with a vibrant green color and a slightly sour, tangy taste. It is rich in Vitamin C, antioxidants, and other essential nutrients, making it a highly valued fruit in Ayurveda and traditional medicine","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly before use.","[{""weight"":""250g"",""price"":61,""stock"":30},{""weight"":""500g"",""price"":110,""stock"":40},{""weight"":""1 kg"",""price"":209,""stock"":25}]"
"Apple (Regular)","Fruits",160,"1 kg",60,"https://cdn2.clevup.in/252374/SKU-0392_0-1725857171646.png?format=webp","Fresh Small Shimla Apples
Enjoy the delightful flavor of fresh Shimla apples, known for their crisp texture and mildly sweet taste. These small, vibrant apples are perfect for snacking and packed with nutrients like fiber and antioxidants. Shimla apples have a beautiful red skin with a hint of green","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly before use.","[{""weight"":""500g (2-3 Pcs)"",""price"":85,""stock"":40},{""weight"":""1 kg (4-5 Pcs)"",""price"":160,""stock"":50},{""weight"":""2 kg"",""price"":310,""stock"":25}]"
"Apple Gala (गाला सेव)","Fruits",160,"1 kg",80,"https://images.unsplash.com/photo-1560806887-1e4cd0b6cbd6?auto=format&fit=crop&w=600&q=80","100% farm-fresh Apple Gala (गाला सेव) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""500g (2-3 Pcs)"",""price"":85,""stock"":40},{""weight"":""1 kg (4-5 Pcs)"",""price"":160,""stock"":50},{""weight"":""2 kg"",""price"":310,""stock"":25}]"
"Apple Gourd (टिंडा)","Fruits",160,"1 kg",60,"https://cdn2.clevup.in/252374/SKU-0356_0-1714715024296.jpeg?format=webp","Fresh and Nutritious Apple Gourd (टिंडा) - A Healthy Addition to Your PlateBring home the goodness of Apple Gourd (टिंडा), a versatile and nutrient-rich vegetable that’s perfect for your everyday meals. Sourced fresh from trusted farms, this wholesome vegetable is a staple in many Indian kitchens, l","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly before use.","[{""weight"":""500g (2-3 Pcs)"",""price"":85,""stock"":40},{""weight"":""1 kg (4-5 Pcs)"",""price"":160,""stock"":50},{""weight"":""2 kg"",""price"":310,""stock"":25}]"
"Banana (केला)","Fruits",60,"1 Dozen (12 Pcs)",80,"https://cdn2.clevup.in/252374/Untitleddesign1-1725463836404.png?format=webp","Savor the tropical goodness of our fresh bananas! Packed with natural sweetness and nutrients, our bananas are a wholesome snack for any occasion. Add a burst of flavor to your day – order a dozen now and enjoy the convenience of home delivery! 🚚🍌 #FreshAndDelicious #SubziQuick Green Bazaar&quot;","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""6 Pcs (Half Dozen)"",""price"":32,""stock"":50},{""weight"":""12 Pcs (1 Dozen)"",""price"":60,""stock"":60},{""weight"":""24 Pcs (2 Dozen)"",""price"":115,""stock"":30}]"
"Blueberry (ब्लूबेरी)","Fruits",220,"500g",80,"https://images.unsplash.com/photo-1610832958506-aa56368176cf?auto=format&fit=crop&w=600&q=80","100% farm-fresh Blueberry (ब्लूबेरी) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":121,""stock"":30},{""weight"":""500g"",""price"":220,""stock"":40},{""weight"":""1 kg"",""price"":418,""stock"":25}]"
"Coconut / Nariyal","Fruits",38,"1 Pc",60,"https://cdn2.clevup.in/252374/SKU-0494_0-1754384003009.png?format=webp","Coconut (Nariyal) is a versatile fruit known for its refreshing water, rich white flesh, and countless traditional uses. At E VEGETABLE BAZAAR, we deliver handpicked, fresh, and fully mature coconuts with a hard shell and fibrous husk—ideal for daily use, cooking, rituals, or gifting.
---✅ Why Choos","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly before use.","[{""weight"":""1 Piece"",""price"":38,""stock"":50},{""weight"":""2 Pieces"",""price"":72,""stock"":40},{""weight"":""5 Pieces"",""price"":175,""stock"":20}]"
"Dragon fruit (ड्रैगन फ्रूट)","Fruits",110,"1 Pc",80,"https://images.unsplash.com/photo-1610832958506-aa56368176cf?auto=format&fit=crop&w=600&q=80","100% farm-fresh Dragon fruit (ड्रैगन फ्रूट) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""1 Piece (Approx 350g)"",""price"":110,""stock"":30},{""weight"":""2 Pieces"",""price"":210,""stock"":20},{""weight"":""1 Box (4 Pcs)"",""price"":400,""stock"":15}]"
"Green Apple (Golden)","Fruits",160,"1 kg",60,"https://cdn2.clevup.in/252374/SKU-0505_0-1757472888512.png?format=webp","Green Apple – Fresh, Juicy &amp; Healthy 🍏Enjoy the crisp, tangy-sweet taste of premium Green Apples from E VEGETABLE BAZAAR. Packed with natural antioxidants, vitamins, and fiber, these apples are perfect for snacking, making juices, salads, or adding a refreshing crunch to desserts.
✔ 100% Fresh","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly before use.","[{""weight"":""500g (2-3 Pcs)"",""price"":85,""stock"":40},{""weight"":""1 kg (4-5 Pcs)"",""price"":160,""stock"":50},{""weight"":""2 kg"",""price"":310,""stock"":25}]"
"Hybrid Guava","Fruits",80,"1 kg",60,"https://cdn2.clevup.in/252374/SKU-0592_0-1767849592557.jpg?format=webp","Fresh and Flavorful Hybrid Guava – Only at E VEGETABLE BAZAARDiscover the perfect blend of taste and nutrition with our Hybrid Guava, exclusively available at E VEGETABLE BAZAAR. Known for its irresistible sweetness, juicy texture, and premium quality, this guava variety is a must-have for every fru","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly before use.","[{""weight"":""500g"",""price"":45,""stock"":35},{""weight"":""1 kg"",""price"":80,""stock"":40},{""weight"":""2 kg"",""price"":155,""stock"":20}]"
"Imported Orange","Fruits",90,"1 kg",60,"https://cdn2.clevup.in/275981/1669981758204_SKU-0040_0.jpg?format=webp","Buy Fresh Imported Orange in Bhopal - Available at Kolar Road | E VEGETABLE BAZAAR
Looking for the freshest imported oranges in Bhopal? Head to E VEGETABLE BAZAAR on Kolar Road for premium-quality, juicy oranges sourced from the best international farms. Our imported oranges are rich in Vitamin C, a","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly before use.","[{""weight"":""500g"",""price"":48,""stock"":40},{""weight"":""1 kg"",""price"":90,""stock"":50},{""weight"":""2 kg"",""price"":175,""stock"":30}]"
"Kimia Dates (कीमिया खजूर)","Fruits",160,"500g",80,"https://images.unsplash.com/photo-1610832958506-aa56368176cf?auto=format&fit=crop&w=600&q=80","100% farm-fresh Kimia Dates (कीमिया खजूर) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""250g"",""price"":88,""stock"":30},{""weight"":""500g"",""price"":160,""stock"":40},{""weight"":""1 kg"",""price"":304,""stock"":25}]"
"Kiwi (कीवी)","Fruits",130,"1 Pack (3 Pcs)",80,"https://images.unsplash.com/photo-1610832958506-aa56368176cf?auto=format&fit=crop&w=600&q=80","100% farm-fresh Kiwi (कीवी) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""1 Pack (3 Pcs)"",""price"":130,""stock"":35},{""weight"":""1 Box (6 Pcs)"",""price"":245,""stock"":25}]"
"Kiwi Fruit","Fruits",130,"1 Pack (3 Pcs)",60,"https://cdn2.clevup.in/252374/1685862399544_SKU-0252_0.jpg?format=webp","Kiwi, also known as Chinese gooseberry, is a small, oval-shaped fruit with a fuzzy brownish-green skin and vibrant green flesh. It is native to China but is now cultivated in several countries around the world, including New Zealand, Italy, and the United States.
The outer skin of the kiwi is thin a","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly before use.","[{""weight"":""1 Pack (3 Pcs)"",""price"":130,""stock"":35},{""weight"":""1 Box (6 Pcs)"",""price"":245,""stock"":25}]"
"Mosambi (मोसंबी)","Fruits",90,"1 kg",80,"https://images.unsplash.com/photo-1610832958506-aa56368176cf?auto=format&fit=crop&w=600&q=80","100% farm-fresh Mosambi (मोसंबी) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""500g"",""price"":48,""stock"":40},{""weight"":""1 kg"",""price"":90,""stock"":50},{""weight"":""2 kg"",""price"":175,""stock"":30}]"
"Papaya (पपीता)","Fruits",55,"1 kg",80,"https://images.unsplash.com/photo-1517282009859-f000ec3b26fe?auto=format&fit=crop&w=600&q=80","100% farm-fresh Papaya (पपीता) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""1 Medium Pc (Approx 800g)"",""price"":48,""stock"":40},{""weight"":""1 Large Pc (Approx 1.2 kg)"",""price"":68,""stock"":40},{""weight"":""2 kg"",""price"":105,""stock"":20}]"
"Papaya / Papita","Fruits",55,"1 kg",60,"https://cdn2.clevup.in/252374/SKU-0658_0-1783057217140.png?format=webp","Fresh Papaya (Papita) - From E VEGETABLE BAZAARDiscover the wholesome goodness of fresh, juicy Papaya from E VEGETABLE BAZAAR, your trusted destination for farm-fresh produce. Known for its vibrant orange flesh, delightful sweetness, and numerous health benefits, this tropical fruit is a must-have f","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly before use.","[{""weight"":""1 Medium Pc (Approx 800g)"",""price"":48,""stock"":40},{""weight"":""1 Large Pc (Approx 1.2 kg)"",""price"":68,""stock"":40},{""weight"":""2 kg"",""price"":105,""stock"":20}]"
"Pear (नाशपाती)","Fruits",110,"500g",60,"https://cdn2.clevup.in/252374/1690728524419_SKU-0288_0.jpg?format=webp","Pear is a sweet and juicy fruit known for its distinctive bell-like shape and smooth texture. It belongs to the Rosaceae family and is native to regions in Europe and Asia. Pears are now widely cultivated in various temperate climates around the world.
Pears come in various shapes, sizes, and colors","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly before use.","[{""weight"":""250g"",""price"":61,""stock"":30},{""weight"":""500g"",""price"":110,""stock"":40},{""weight"":""1 kg"",""price"":209,""stock"":25}]"
"Pineapple (अनानास)","Fruits",85,"1 Pc",80,"https://images.unsplash.com/photo-1560806887-1e4cd0b6cbd6?auto=format&fit=crop&w=600&q=80","100% farm-fresh Pineapple (अनानास) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""1 Piece (Approx 1kg)"",""price"":85,""stock"":35},{""weight"":""2 Pieces"",""price"":160,""stock"":20}]"
"Plum / Aalubukhara","Fruits",110,"500g",60,"https://cdn2.clevup.in/252374/SKU-0474_0-1763309084082.jpg?format=webp","Enjoy the juicy and tangy taste of fresh Plums (Aalubukhara) – naturally ripened, handpicked for quality, and full of health benefits. Soft texture, vibrant color, and natural sweetness make them perfect for snacking, desserts, or adding a twist to your salads.
✅ Rich in Vitamin C &amp; antioxidants","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly before use.","[{""weight"":""250g"",""price"":61,""stock"":30},{""weight"":""500g"",""price"":110,""stock"":40},{""weight"":""1 kg"",""price"":209,""stock"":25}]"
"Pomegranate ( अनार)","Fruits",170,"1 kg",80,"https://images.unsplash.com/photo-1615485290382-441e4d049cb5?auto=format&fit=crop&w=600&q=80","100% farm-fresh Pomegranate ( अनार) sourced daily from trusted local Bhopal & MP farmers. Graded for premium quality, crisp texture, and natural freshness.","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly with clean water before use.","[{""weight"":""500g (2 Pcs)"",""price"":90,""stock"":35},{""weight"":""1 kg (4-5 Pcs)"",""price"":170,""stock"":45},{""weight"":""2 kg"",""price"":330,""stock"":20}]"
"Pomegranate / Anaar","Fruits",170,"1 kg",60,"https://cdn2.clevup.in/252374/SKU-0270_0-1762744776210.webp?format=webp","Pomegranate / Anaar - A Burst of Flavor and NutritionDiscover the rich, ruby-red allure of Pomegranate, known as अनार in Hindi, a fruit cherished for its sweet and tangy flavors and exceptional health benefits. Packed with antioxidants and essential nutrients, this versatile fruit is a perfect addit","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly before use.","[{""weight"":""500g (2 Pcs)"",""price"":90,""stock"":35},{""weight"":""1 kg (4-5 Pcs)"",""price"":170,""stock"":45},{""weight"":""2 kg"",""price"":330,""stock"":20}]"
"Raw Banana (कच्चा केला)","Fruits",60,"1 Dozen (12 Pcs)",60,"https://cdn2.clevup.in/252374/SKU-0405_0-1726536467054.png?format=webp","Raw Banana: The Versatile, Nutrient-Rich Superfood
Raw bananas, also known as green bananas or plantains, are a staple in many Indian households, especially in vegetarian and vegan diets. Unlike ripe bananas, raw bananas are firmer and have a mild, starchy taste, making them an excellent choice for","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly before use.","[{""weight"":""6 Pcs (Half Dozen)"",""price"":32,""stock"":50},{""weight"":""12 Pcs (1 Dozen)"",""price"":60,""stock"":60},{""weight"":""24 Pcs (2 Dozen)"",""price"":115,""stock"":30}]"
"Sweet Lime (मौसंमी)","Fruits",90,"1 kg",60,"https://cdn2.clevup.in/252374/1690728197827_SKU-0284_0.jpg?format=webp","Sweet lime, also known as &quot;Mosambi&quot; in Hindi, is a delightful citrus fruit that is appreciated for its mildly sweet and tangy taste. It belongs to the Rutaceae family and is closely related to other citrus fruits like oranges and lemons. The sweet lime is predominantly grown in tropical and subtropi","Direct from Bhopal Regional Kisan Hubs & local organic growers (Raisen / Sehore / Hoshangabad)","Keep in a cool, well-ventilated space or refrigerate. Wash thoroughly before use.","[{""weight"":""500g"",""price"":48,""stock"":40},{""weight"":""1 kg"",""price"":90,""stock"":50},{""weight"":""2 kg"",""price"":175,""stock"":30}]"
